relative_time_s,allocated_gb,reserved_gb,allocated_pct,reserved_pct
0.00,0.0000,0.0000,0.00,0.00
15.01,0.0000,0.0000,0.00,0.00
30.03,0.0000,0.0000,0.00,0.00
45.03,0.0000,0.0000,0.00,0.00
60.04,0.0000,0.0000,0.00,0.00
75.05,0.0000,0.0000,0.00,0.00
90.06,0.0000,0.0000,0.00,0.00
105.06,0.0000,0.0000,0.00,0.00
120.07,0.0000,0.0000,0.00,0.00
135.08,0.0000,0.0000,0.00,0.00
150.09,0.0000,0.0000,0.00,0.00
165.10,0.0000,0.0000,0.00,0.00
180.10,0.0000,0.0000,0.00,0.00
195.11,0.0000,0.0000,0.00,0.00
210.11,0.0000,0.0000,0.00,0.00
225.12,0.0000,0.0000,0.00,0.00
240.13,0.0000,0.0000,0.00,0.00
255.15,0.0000,0.0000,0.00,0.00
270.15,0.0000,0.0000,0.00,0.00
285.15,0.0000,0.0000,0.00,0.00
300.16,0.0000,0.0000,0.00,0.00
315.18,0.0000,0.0000,0.00,0.00
330.18,0.0000,0.0000,0.00,0.00
345.19,0.0000,0.0000,0.00,0.00
360.19,0.0000,0.0000,0.00,0.00
375.20,0.0000,0.0000,0.00,0.00
390.21,0.0000,0.0000,0.00,0.00
405.22,0.0000,0.0000,0.00,0.00
420.23,0.0000,0.0000,0.00,0.00
435.24,0.0000,0.0000,0.00,0.00
450.25,0.0000,0.0000,0.00,0.00
465.26,0.0000,0.0000,0.00,0.00
480.27,0.0000,0.0000,0.00,0.00
495.27,0.0000,0.0000,0.00,0.00
510.29,0.0000,0.0000,0.00,0.00
525.29,0.0000,0.0000,0.00,0.00
540.30,0.0000,0.0000,0.00,0.00
555.31,0.0000,0.0000,0.00,0.00
570.32,0.0000,0.0000,0.00,0.00
585.33,0.0000,0.0000,0.00,0.00
600.33,0.0000,0.0000,0.00,0.00
615.34,0.0000,0.0000,0.00,0.00
630.35,0.0000,0.0000,0.00,0.00
645.36,0.0000,0.0000,0.00,0.00
660.36,0.0000,0.0000,0.00,0.00
675.38,0.0000,0.0000,0.00,0.00
690.38,0.0000,0.0000,0.00,0.00
705.38,0.0000,0.0000,0.00,0.00
720.40,0.0000,0.0000,0.00,0.00
735.41,0.0000,0.0000,0.00,0.00
750.41,0.0000,0.0000,0.00,0.00
765.41,0.0000,0.0000,0.00,0.00
780.42,0.0000,0.0000,0.00,0.00
795.42,0.0000,0.0000,0.00,0.00
810.44,0.0000,0.0000,0.00,0.00
825.45,0.0000,0.0000,0.00,0.00
840.45,0.0000,0.0000,0.00,0.00
855.46,0.0000,0.0000,0.00,0.00
870.47,0.0000,0.0000,0.00,0.00
885.48,0.0000,0.0000,0.00,0.00
900.48,0.0000,0.0000,0.00,0.00
915.49,0.0000,0.0000,0.00,0.00
930.50,0.0000,0.0000,0.00,0.00
945.51,0.0000,0.0000,0.00,0.00
960.52,0.0000,0.0000,0.00,0.00
975.53,0.0000,0.0000,0.00,0.00
990.54,0.0000,0.0000,0.00,0.00
1005.56,0.0000,0.0000,0.00,0.00
1020.56,0.0000,0.0000,0.00,0.00
1035.58,0.0000,0.0000,0.00,0.00
1050.58,0.0000,0.0000,0.00,0.00
1065.59,0.0000,0.0000,0.00,0.00
1080.60,0.0000,0.0000,0.00,0.00
1095.61,0.0000,0.0000,0.00,0.00
1110.62,0.0000,0.0000,0.00,0.00
1125.63,0.0000,0.0000,0.00,0.00
1140.63,0.0000,0.0000,0.00,0.00
1155.64,0.0000,0.0000,0.00,0.00
1170.64,0.0000,0.0000,0.00,0.00
1185.66,0.0000,0.0000,0.00,0.00
1200.66,0.0000,0.0000,0.00,0.00
1215.66,0.0000,0.0000,0.00,0.00
1230.66,0.0000,0.0000,0.00,0.00
1245.67,0.0000,0.0000,0.00,0.00
1260.68,0.0000,0.0000,0.00,0.00
1275.69,0.0000,0.0000,0.00,0.00
1290.70,0.0000,0.0000,0.00,0.00
1305.71,0.0000,0.0000,0.00,0.00
1320.72,0.0000,0.0000,0.00,0.00
1335.72,0.0000,0.0000,0.00,0.00
1350.73,0.0000,0.0000,0.00,0.00
1365.73,0.0000,0.0000,0.00,0.00
1380.74,0.0000,0.0000,0.00,0.00
1395.75,0.0000,0.0000,0.00,0.00
1410.75,0.0000,0.0000,0.00,0.00
1425.76,0.0000,0.0000,0.00,0.00
1440.77,0.0000,0.0000,0.00,0.00
1455.79,0.0000,0.0000,0.00,0.00
1470.80,0.0000,0.0000,0.00,0.00
1485.81,0.0000,0.0000,0.00,0.00
1500.83,0.0000,0.0000,0.00,0.00
1515.84,0.0000,0.0000,0.00,0.00
1530.85,0.0000,0.0000,0.00,0.00
1545.86,0.0000,0.0000,0.00,0.00
1560.87,0.0000,0.0000,0.00,0.00
1575.88,0.0000,0.0000,0.00,0.00
1590.88,0.0000,0.0000,0.00,0.00
1605.89,0.0000,0.0000,0.00,0.00
1620.91,0.0000,0.0000,0.00,0.00
1635.92,0.0000,0.0000,0.00,0.00
1650.92,0.0000,0.0000,0.00,0.00
1665.93,0.0000,0.0000,0.00,0.00
1680.94,0.0000,0.0000,0.00,0.00
1695.95,0.0000,0.0000,0.00,0.00
1710.96,0.0000,0.0000,0.00,0.00
1725.98,0.0000,0.0000,0.00,0.00
1740.98,0.0000,0.0000,0.00,0.00
1755.99,0.0000,0.0000,0.00,0.00
1771.01,0.0000,0.0000,0.00,0.00
1786.02,0.0000,0.0000,0.00,0.00
1801.03,0.0000,0.0000,0.00,0.00
1816.05,0.0000,0.0000,0.00,0.00
1831.05,0.0000,0.0000,0.00,0.00
1846.06,0.0000,0.0000,0.00,0.00
1861.08,0.0000,0.0000,0.00,0.00
1876.09,0.0000,0.0000,0.00,0.00
1891.09,0.0000,0.0000,0.00,0.00
1906.10,0.0000,0.0000,0.00,0.00
1921.10,0.0000,0.0000,0.00,0.00
1936.12,0.0000,0.0000,0.00,0.00
1951.13,0.0000,0.0000,0.00,0.00
1966.15,0.0000,0.0000,0.00,0.00
1981.15,0.0000,0.0000,0.00,0.00
1996.16,0.0000,0.0000,0.00,0.00
2011.17,0.0000,0.0000,0.00,0.00
2026.18,0.0000,0.0000,0.00,0.00
2041.18,0.0000,0.0000,0.00,0.00
2056.19,0.0000,0.0000,0.00,0.00
2071.20,0.0000,0.0000,0.00,0.00
2086.20,0.0000,0.0000,0.00,0.00
2101.21,0.0000,0.0000,0.00,0.00
2116.22,0.0000,0.0000,0.00,0.00
2131.22,0.0000,0.0000,0.00,0.00
2146.24,0.0000,0.0000,0.00,0.00
2161.25,0.0000,0.0000,0.00,0.00
2176.26,0.0000,0.0000,0.00,0.00
2191.27,0.0000,0.0000,0.00,0.00
2206.28,0.0000,0.0000,0.00,0.00
2221.28,0.0000,0.0000,0.00,0.00
2236.29,0.0000,0.0000,0.00,0.00
2251.30,0.0000,0.0000,0.00,0.00
2266.32,0.0000,0.0000,0.00,0.00
2281.33,0.0000,0.0000,0.00,0.00
2296.33,0.0000,0.0000,0.00,0.00
2311.34,0.0000,0.0000,0.00,0.00
2326.34,0.0000,0.0000,0.00,0.00
2341.36,0.0000,0.0000,0.00,0.00
2356.37,0.0000,0.0000,0.00,0.00
2371.38,0.0000,0.0000,0.00,0.00
2386.38,0.0000,0.0000,0.00,0.00
2401.39,0.0000,0.0000,0.00,0.00
