relative_time_s,allocated_gb,reserved_gb,allocated_pct,reserved_pct
0.00,0.0000,0.0000,0.00,0.00
15.00,0.0000,0.0000,0.00,0.00
30.00,0.0000,0.0000,0.00,0.00
45.00,0.0000,0.0000,0.00,0.00
60.00,0.0000,0.0000,0.00,0.00
75.00,0.0000,0.0000,0.00,0.00
90.00,0.0000,0.0000,0.00,0.00
105.00,0.0000,0.0000,0.00,0.00
120.00,0.0000,0.0000,0.00,0.00
135.00,0.0000,0.0000,0.00,0.00
150.00,0.0000,0.0000,0.00,0.00
165.00,0.0000,0.0000,0.00,0.00
180.01,0.0000,0.0000,0.00,0.00
195.01,0.0000,0.0000,0.00,0.00
210.01,0.0000,0.0000,0.00,0.00
225.01,0.0000,0.0000,0.00,0.00
240.01,0.0000,0.0000,0.00,0.00
255.01,0.0000,0.0000,0.00,0.00
270.01,0.0000,0.0000,0.00,0.00
285.01,0.0000,0.0000,0.00,0.00
300.01,0.0000,0.0000,0.00,0.00
315.01,0.0000,0.0000,0.00,0.00
330.01,0.0000,0.0000,0.00,0.00
345.01,0.0000,0.0000,0.00,0.00
360.01,0.0000,0.0000,0.00,0.00
375.01,0.0000,0.0000,0.00,0.00
390.01,0.0000,0.0000,0.00,0.00
405.01,0.0000,0.0000,0.00,0.00
420.01,0.0000,0.0000,0.00,0.00
435.01,0.0000,0.0000,0.00,0.00
450.01,0.0000,0.0000,0.00,0.00
465.01,0.0000,0.0000,0.00,0.00
480.01,0.0000,0.0000,0.00,0.00
495.01,0.0000,0.0000,0.00,0.00
510.02,0.0000,0.0000,0.00,0.00
525.02,0.0000,0.0000,0.00,0.00
540.02,0.0000,0.0000,0.00,0.00
555.02,0.0000,0.0000,0.00,0.00
570.02,0.0000,0.0000,0.00,0.00
585.02,0.0000,0.0000,0.00,0.00
600.02,0.0000,0.0000,0.00,0.00
615.02,0.0000,0.0000,0.00,0.00
630.02,0.0000,0.0000,0.00,0.00
645.02,0.0000,0.0000,0.00,0.00
660.02,0.0000,0.0000,0.00,0.00
675.02,0.0000,0.0000,0.00,0.00
690.02,0.0000,0.0000,0.00,0.00
705.02,0.0000,0.0000,0.00,0.00
720.02,0.0000,0.0000,0.00,0.00
735.02,0.0000,0.0000,0.00,0.00
750.02,0.0000,0.0000,0.00,0.00
765.02,0.0000,0.0000,0.00,0.00
780.02,0.0000,0.0000,0.00,0.00
795.02,0.0000,0.0000,0.00,0.00
810.02,0.0000,0.0000,0.00,0.00
825.02,0.0000,0.0000,0.00,0.00
840.02,0.0000,0.0000,0.00,0.00
855.02,0.0000,0.0000,0.00,0.00
870.02,0.0000,0.0000,0.00,0.00
885.02,0.0000,0.0000,0.00,0.00
900.02,0.0000,0.0000,0.00,0.00
915.02,0.0000,0.0000,0.00,0.00
930.02,0.0000,0.0000,0.00,0.00
945.03,0.0000,0.0000,0.00,0.00
960.03,0.0000,0.0000,0.00,0.00
975.03,0.0000,0.0000,0.00,0.00
990.03,0.0000,0.0000,0.00,0.00
1005.03,0.0000,0.0000,0.00,0.00
1020.03,0.0000,0.0000,0.00,0.00
1035.03,0.0000,0.0000,0.00,0.00
1050.03,0.0000,0.0000,0.00,0.00
1065.03,0.0000,0.0000,0.00,0.00
1080.03,0.0000,0.0000,0.00,0.00
1095.03,0.0000,0.0000,0.00,0.00
1110.03,0.0000,0.0000,0.00,0.00
1125.03,0.0000,0.0000,0.00,0.00
1140.03,0.0000,0.0000,0.00,0.00
1155.03,0.0000,0.0000,0.00,0.00
1170.03,0.0000,0.0000,0.00,0.00
1185.03,0.0000,0.0000,0.00,0.00
1200.03,0.0000,0.0000,0.00,0.00
1215.03,0.0000,0.0000,0.00,0.00
1230.03,0.0000,0.0000,0.00,0.00
1245.03,0.0000,0.0000,0.00,0.00
1260.03,0.0000,0.0000,0.00,0.00
1275.03,0.0000,0.0000,0.00,0.00
1290.03,0.0000,0.0000,0.00,0.00
1305.03,0.0000,0.0000,0.00,0.00
1320.03,0.0000,0.0000,0.00,0.00
1335.03,0.0000,0.0000,0.00,0.00
1350.03,0.0000,0.0000,0.00,0.00
1365.03,0.0000,0.0000,0.00,0.00
1380.03,0.0000,0.0000,0.00,0.00
1395.03,0.0000,0.0000,0.00,0.00
1410.03,0.0000,0.0000,0.00,0.00
1425.03,0.0000,0.0000,0.00,0.00
1440.03,0.0000,0.0000,0.00,0.00
1455.03,0.0000,0.0000,0.00,0.00
1470.04,0.0000,0.0000,0.00,0.00
1485.04,0.0000,0.0000,0.00,0.00
1500.04,0.0000,0.0000,0.00,0.00
1515.04,0.0000,0.0000,0.00,0.00
1530.04,0.0000,0.0000,0.00,0.00
1545.04,0.0000,0.0000,0.00,0.00
1560.04,0.0000,0.0000,0.00,0.00
1575.04,0.0000,0.0000,0.00,0.00
1590.04,0.0000,0.0000,0.00,0.00
1605.04,0.0000,0.0000,0.00,0.00
1620.04,0.0000,0.0000,0.00,0.00
1635.04,0.0000,0.0000,0.00,0.00
1650.04,0.0000,0.0000,0.00,0.00
1665.04,0.0000,0.0000,0.00,0.00
1680.04,0.0000,0.0000,0.00,0.00
1695.04,0.0000,0.0000,0.00,0.00
1710.04,0.0000,0.0000,0.00,0.00
1725.04,0.0000,0.0000,0.00,0.00
1740.04,0.0000,0.0000,0.00,0.00
1755.04,0.0000,0.0000,0.00,0.00
1770.04,0.0000,0.0000,0.00,0.00
1785.04,0.0000,0.0000,0.00,0.00
1800.04,0.0000,0.0000,0.00,0.00
1815.04,0.0000,0.0000,0.00,0.00
1830.04,0.0000,0.0000,0.00,0.00
1845.04,0.0000,0.0000,0.00,0.00
1860.05,0.0000,0.0000,0.00,0.00
1875.05,0.0000,0.0000,0.00,0.00
1890.05,0.0000,0.0000,0.00,0.00
1905.05,0.0000,0.0000,0.00,0.00
1920.05,0.0000,0.0000,0.00,0.00
1935.05,0.0000,0.0000,0.00,0.00
1950.05,0.0000,0.0000,0.00,0.00
1965.05,0.0000,0.0000,0.00,0.00
1980.05,0.0000,0.0000,0.00,0.00
1995.05,0.0000,0.0000,0.00,0.00
2010.05,0.0000,0.0000,0.00,0.00
2025.05,0.0000,0.0000,0.00,0.00
2040.05,0.0000,0.0000,0.00,0.00
2055.05,0.0000,0.0000,0.00,0.00
2070.05,0.0000,0.0000,0.00,0.00
2085.05,0.0000,0.0000,0.00,0.00
2100.05,0.0000,0.0000,0.00,0.00
2115.05,0.0000,0.0000,0.00,0.00
2130.05,0.0000,0.0000,0.00,0.00
2145.05,0.0000,0.0000,0.00,0.00
2160.05,0.0000,0.0000,0.00,0.00
2175.05,0.0000,0.0000,0.00,0.00
2190.05,0.0000,0.0000,0.00,0.00
2205.05,0.0000,0.0000,0.00,0.00
2220.05,0.0000,0.0000,0.00,0.00
2235.05,0.0000,0.0000,0.00,0.00
2250.05,0.0000,0.0000,0.00,0.00
2265.05,0.0000,0.0000,0.00,0.00
2280.05,0.0000,0.0000,0.00,0.00
2295.05,0.0000,0.0000,0.00,0.00
2310.05,0.0000,0.0000,0.00,0.00
2325.05,0.0000,0.0000,0.00,0.00
2340.05,0.0000,0.0000,0.00,0.00
2355.06,0.0000,0.0000,0.00,0.00
2370.06,0.0000,0.0000,0.00,0.00
2385.06,0.0000,0.0000,0.00,0.00
2400.06,0.0000,0.0000,0.00,0.00
2415.06,0.0000,0.0000,0.00,0.00
2430.06,0.0000,0.0000,0.00,0.00
2445.06,0.0000,0.0000,0.00,0.00
2460.06,0.0000,0.0000,0.00,0.00
2475.06,0.0000,0.0000,0.00,0.00
2490.06,0.0000,0.0000,0.00,0.00
2505.06,0.0000,0.0000,0.00,0.00
2520.06,0.0000,0.0000,0.00,0.00
2535.06,0.0000,0.0000,0.00,0.00
2550.06,0.0000,0.0000,0.00,0.00
2565.06,0.0000,0.0000,0.00,0.00
2580.06,0.0000,0.0000,0.00,0.00
2595.06,0.0000,0.0000,0.00,0.00
2610.06,0.0000,0.0000,0.00,0.00
2625.06,0.0000,0.0000,0.00,0.00
2640.06,0.0000,0.0000,0.00,0.00
2655.06,0.0000,0.0000,0.00,0.00
2670.06,0.0000,0.0000,0.00,0.00
2685.06,0.0000,0.0000,0.00,0.00
2700.06,0.0000,0.0000,0.00,0.00
2715.06,0.0000,0.0000,0.00,0.00
2730.06,0.0000,0.0000,0.00,0.00
2745.06,0.0000,0.0000,0.00,0.00
2760.06,0.0000,0.0000,0.00,0.00
2775.06,0.0000,0.0000,0.00,0.00
2790.06,0.0000,0.0000,0.00,0.00
2805.06,0.0000,0.0000,0.00,0.00
2820.06,0.0000,0.0000,0.00,0.00
2835.07,0.0000,0.0000,0.00,0.00
2850.07,0.0000,0.0000,0.00,0.00
2865.07,0.0000,0.0000,0.00,0.00
2880.07,0.0000,0.0000,0.00,0.00
2895.07,0.0000,0.0000,0.00,0.00
2910.07,0.0000,0.0000,0.00,0.00
2925.07,0.0000,0.0000,0.00,0.00
2940.07,0.0000,0.0000,0.00,0.00
2955.07,0.0000,0.0000,0.00,0.00
2970.07,0.0000,0.0000,0.00,0.00
2985.07,0.0000,0.0000,0.00,0.00
3000.07,0.0000,0.0000,0.00,0.00
3015.07,0.0000,0.0000,0.00,0.00
3030.07,0.0000,0.0000,0.00,0.00
3045.07,0.0000,0.0000,0.00,0.00
3060.07,0.0000,0.0000,0.00,0.00
3075.07,0.0000,0.0000,0.00,0.00
3090.07,0.0000,0.0000,0.00,0.00
3105.07,0.0000,0.0000,0.00,0.00
3120.07,0.0000,0.0000,0.00,0.00
3135.07,0.0000,0.0000,0.00,0.00
3150.07,0.0000,0.0000,0.00,0.00
3165.07,0.0000,0.0000,0.00,0.00
3180.07,0.0000,0.0000,0.00,0.00
3195.07,0.0000,0.0000,0.00,0.00
3210.07,0.0000,0.0000,0.00,0.00
3225.07,0.0000,0.0000,0.00,0.00
3240.07,0.0000,0.0000,0.00,0.00
3255.08,0.0000,0.0000,0.00,0.00
3270.08,0.0000,0.0000,0.00,0.00
3285.08,0.0000,0.0000,0.00,0.00
3300.08,0.0000,0.0000,0.00,0.00
3315.08,0.0000,0.0000,0.00,0.00
3330.08,0.0000,0.0000,0.00,0.00
3345.08,0.0000,0.0000,0.00,0.00
3360.08,0.0000,0.0000,0.00,0.00
3375.08,0.0000,0.0000,0.00,0.00
3390.08,0.0000,0.0000,0.00,0.00
3405.08,0.0000,0.0000,0.00,0.00
3420.08,0.0000,0.0000,0.00,0.00
3435.08,0.0000,0.0000,0.00,0.00
3450.08,0.0000,0.0000,0.00,0.00
3465.08,0.0000,0.0000,0.00,0.00
3480.08,0.0000,0.0000,0.00,0.00
3495.08,0.0000,0.0000,0.00,0.00
3510.08,0.0000,0.0000,0.00,0.00
3525.08,0.0000,0.0000,0.00,0.00
3540.08,0.0000,0.0000,0.00,0.00
3555.08,0.0000,0.0000,0.00,0.00
3570.08,0.0000,0.0000,0.00,0.00
3585.08,0.0000,0.0000,0.00,0.00
3600.08,0.0000,0.0000,0.00,0.00
3615.08,0.0000,0.0000,0.00,0.00
3630.08,0.0000,0.0000,0.00,0.00
3645.08,0.0000,0.0000,0.00,0.00
3660.08,0.0000,0.0000,0.00,0.00
3675.08,0.0000,0.0000,0.00,0.00
3690.08,0.0000,0.0000,0.00,0.00
3705.08,0.0000,0.0000,0.00,0.00
3720.08,0.0000,0.0000,0.00,0.00
3735.09,0.0000,0.0000,0.00,0.00
3750.09,0.0000,0.0000,0.00,0.00
3765.09,0.0000,0.0000,0.00,0.00
3780.09,0.0000,0.0000,0.00,0.00
3795.09,0.0000,0.0000,0.00,0.00
3810.09,0.0000,0.0000,0.00,0.00
3825.09,0.0000,0.0000,0.00,0.00
3840.09,0.0000,0.0000,0.00,0.00
3855.09,0.0000,0.0000,0.00,0.00
3870.09,0.0000,0.0000,0.00,0.00
3885.09,0.0000,0.0000,0.00,0.00
3900.09,0.0000,0.0000,0.00,0.00
3915.09,0.0000,0.0000,0.00,0.00
3930.09,0.0000,0.0000,0.00,0.00
3945.09,0.0000,0.0000,0.00,0.00
3960.09,0.0000,0.0000,0.00,0.00
3975.09,0.0000,0.0000,0.00,0.00
3990.09,0.0000,0.0000,0.00,0.00
4005.09,0.0000,0.0000,0.00,0.00
4020.09,0.0000,0.0000,0.00,0.00
4035.09,0.0000,0.0000,0.00,0.00
4050.09,0.0000,0.0000,0.00,0.00
4065.09,0.0000,0.0000,0.00,0.00
4080.09,0.0000,0.0000,0.00,0.00
4095.09,0.0000,0.0000,0.00,0.00
4110.09,0.0000,0.0000,0.00,0.00
4125.09,0.0000,0.0000,0.00,0.00
4140.09,0.0000,0.0000,0.00,0.00
4155.09,0.0000,0.0000,0.00,0.00
4170.09,0.0000,0.0000,0.00,0.00
4185.10,0.0000,0.0000,0.00,0.00
4200.10,0.0000,0.0000,0.00,0.00
4215.10,0.0000,0.0000,0.00,0.00
4230.10,0.0000,0.0000,0.00,0.00
4245.10,0.0000,0.0000,0.00,0.00
4260.10,0.0000,0.0000,0.00,0.00
4275.10,0.0000,0.0000,0.00,0.00
4290.10,0.0000,0.0000,0.00,0.00
4305.10,0.0000,0.0000,0.00,0.00
4320.10,0.0000,0.0000,0.00,0.00
4335.10,0.0000,0.0000,0.00,0.00
4350.10,0.0000,0.0000,0.00,0.00
4365.10,0.0000,0.0000,0.00,0.00
4380.10,0.0000,0.0000,0.00,0.00
